SEP Reference Time,Flare Magnitude Deprecated,Flare Xray Start Time,Flare Xray Peak Time,Flare Xray End Time,Flare Class,Flare Magnitude,Flare Integrated Flux,Flare Duration,Flare Xray Time To Peak,Flare Catalog ID,Event Source Latitude,Event Source Longitude,Event Source Reference,CDAW CME Speed,GOES Xray Satellite,Comments
1986-02-03 20:40:00,2e-05,,,,M2.8,0.000028571,,,,,-9.0,-27.0,IGR List,,,IGR List
1986-02-04 07:35:00,,,,,,,,,,,-3.0,-21.0,IGR List,,,IGR List
1986-02-06 06:22:00,0.0002,,,,X2.8,0.00028571,,,,,-7.0,2.0,IGR List,,,IGR List
1986-02-07 10:24:00,5e-05,,,,M7.1,0.000071429,,,,,-11.0,21.0,IGR List,,,IGR List
1986-02-10 20:55:00,1e-05,,,,M1.4,0.000014286,,,,,-1.0,32.0,IGR List,,,IGR List
1986-02-14 09:22:00,6e-05,,,,M8.5,0.000085714,,,,,0.0,78.0,IGR List,,,IGR List
1986-03-06 17:02:00,5e-06,,,,C7.1,0.0000071429,,,,,2.0,-1.0,IGR List,,,IGR List
1986-05-04 09:30:00,1e-05,,,,M1.4,0.000014286,,,,,6.0,90.0,IGR List,,,IGR List
1987-05-29 20:00:00,1e-06,,,,C1.4,0.0000014286,,,,,30.0,97.0,IGR List,,,IGR List
1987-07-24 10:52:00,3e-05,,,,M4.2,0.000042857,,,,,-28.0,36.0,IGR List,,,IGR List
1987-08-01 18:19:00,9e-06,,,,M1.2,0.000012857,,,,,-22.0,72.0,IGR List,,,IGR List
1987-08-29 03:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1987-08-31 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1987-10-16 09:59:00,2e-05,,,,M2.8,0.000028571,,,,,21.0,11.0,IGR List,,,IGR List
1987-11-05 09:42:00,7e-06,,,,M1.0,0.000010000,,,,,-21.0,-35.0,IGR List,,,IGR List
1987-11-05 23:39:00,2e-05,,,,M2.8,0.000028571,,,,,30.0,77.0,IGR List,,,IGR List
1988-06-15 04:39:00,3e-06,,,,C4.2,0.0000042857,,,,,-24.0,54.0,IGR List,,,IGR List
1988-06-29 07:37:00,7e-05,,,,X1.0,0.00010000,,,,,-19.0,-24.0,IGR List,,,IGR List
1988-06-30 09:05:00,9e-05,,,,X1.2,0.00012857,,,,,-16.0,-23.0,IGR List,,,IGR List
1988-07-21 05:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1988-07-23 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1988-08-23 18:31:00,2e-05,,,,M2.8,0.000028571,,,,,24.0,-88.0,IGR List,,,IGR List
1988-08-29 09:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1988-10-03 15:10:00,0.0003,,,,X4.2,0.00042857,,,,,-27.0,17.0,IGR List,,,IGR List
1988-10-05 06:20:00,3e-05,,,,M4.2,0.000042857,,,,,-30.0,32.0,IGR List,,,IGR List
1988-10-12 05:02:00,0.0003,,,,X4.2,0.00042857,,,,,-21.0,68.0,IGR List,,,IGR List
1988-11-08 12:32:00,3e-06,,,,C4.2,0.0000042857,,,,,17.0,7.0,IGR List,,,IGR List
1988-11-14 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1988-12-14 13:37:00,2e-05,,,,M2.8,0.000028571,,,,,30.0,-59.0,IGR List,,,IGR List
1988-12-27 09:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1988-12-28 23:41:00,4e-05,,,,M5.7,0.000057143,,,,,20.0,54.0,IGR List,,,IGR List
1989-01-18 06:37:00,0.0001,,,,X1.4,0.00014286,,,,,-31.0,67.0,IGR List,,,IGR List
1989-04-22 00:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1989-04-30 00:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1989-05-20 09:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1989-06-20 22:12:00,9e-05,,,,X1.2,0.00012857,,,,,17.0,82.0,IGR List,,,IGR List
1989-06-29 03:09:00,7e-06,,,,M1.0,0.000010000,,,,,30.0,26.0,IGR List,,,IGR List
1989-06-29 21:14:00,4e-05,,,,M5.7,0.000057143,,,,,30.0,41.0,IGR List,,,IGR List
1989-08-07 20:31:00,8e-05,,,,X1.1,0.00011429,,,,,-26.0,38.0,IGR List,,,IGR List
1989-09-15 06:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1989-09-15 22:53:00,2e-05,,,,M2.8,0.000028571,,,,,23.0,24.0,IGR List,,,IGR List
1989-09-25 13:17:00,1e-05,,,,M1.4,0.000014286,,,,,-27.0,47.0,IGR List,,,IGR List
1989-11-18 16:22:00,0.0007,,,,X10.0,0.0010000,,,,,-30.0,14.0,IGR List,,,IGR List
1989-11-20 04:13:00,1e-05,,,,M1.4,0.000014286,,,,,-25.0,38.0,IGR List,,,IGR List
1990-02-03 01:08:00,6.9e-05,,,,M9.8,0.000098571,,,,,12.0,79.0,IGR List,,,IGR List
1990-05-07 00:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1990-05-15 13:10:00,0.00017,,,,X2.4,0.00024286,,,,,42.0,-38.0,IGR List,,,IGR List
1990-06-06 16:42:00,1e-05,,,,M1.4,0.000014286,,,,,-18.0,72.0,IGR List,,,IGR List
1990-07-13 11:30:00,3.1e-05,,,,M4.4,0.000044286,,,,,,,IGR List,,,IGR List
1990-08-10 18:09:00,7.9e-05,,,,X1.1,0.00011286,,,,,20.0,-72.0,IGR List,,,IGR List
1990-08-24 08:30:00,2.6e-05,,,,M3.7,0.000037143,,,,,-11.0,-3.0,IGR List,,,IGR List
1990-10-23 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1990-11-11 04:49:00,2.1e-05,,,,M3.0,0.000030000,,,,,10.0,-18.0,IGR List,,,IGR List
1991-01-25 06:30:00,0.001,,,,X14.2,0.0014286,,,,,-16.0,-78.0,IGR List,,,IGR List
1991-02-08 14:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-03-12 12:28:00,0.00017,,,,X2.4,0.00024286,,,,,-8.0,-58.0,IGR List,,,IGR List
1991-04-01 09:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-04-02 23:27:00,6e-05,,,,M8.5,0.000085714,,,,,14.0,0.0,IGR List,,,IGR List
1991-04-22 07:07:00,5.9e-06,,,,C8.4,0.0000084286,,,,,-28.0,90.0,IGR List,,,IGR List
1991-05-10 06:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-05-13 01:35:00,8.2e-05,,,,X1.1,0.00011714,,,,,-7.0,90.0,IGR List,,,IGR List
1991-05-18 05:06:00,0.00028,,,,X4.0,0.00040000,,,,,32.0,85.0,IGR List,,,IGR List
1991-05-22 06:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-09-06 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1991-11-15 22:38:00,0.00015,,,,X2.1,0.00021429,,,,,-14.0,19.0,IGR List,,,IGR List
1991-11-17 03:46:00,1.5e-05,,,,M2.1,0.000021429,,,,,-13.0,33.0,IGR List,,,IGR List
1991-12-21 08:13:00,5.2e-06,,,,C7.4,0.0000074286,,,,,6.0,74.0,IGR List,,,IGR List
1991-12-29 06:10:00,3.8e-06,,,,C5.4,0.0000054286,,,,,,,IGR List,,,IGR List
1991-12-30 10:21:00,4.6e-05,,,,M6.5,0.000065714,,,,,-17.0,23.0,IGR List,,,IGR List
1992-01-04 14:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-02-17 09:53:00,3.6e-06,,,,C5.1,0.0000051429,,,,,12.0,39.0,IGR List,,,IGR List
1992-02-27 12:56:00,0.00033,,,,X4.7,0.00047143,,,,,6.0,2.0,IGR List,,,IGR List
1992-03-07 12:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-03-16 00:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-05-19 18:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1992-05-24 05:33:00,1.1e-06,,,,C1.5,0.0000015714,,,,,,,IGR List,,,IGR List
1992-08-03 06:29:00,4.8e-05,,,,M6.8,0.000068571,,,,,-9.0,-68.0,IGR List,,,IGR List
1992-11-23 20:23:00,4.4e-05,,,,M6.2,0.000062857,,,,,-8.0,89.0,IGR List,,,IGR List
1992-11-29 12:33:00,1.4e-05,,,,M2.0,0.000020000,,,,,-16.0,1.0,IGR List,,,IGR List
1993-05-14 22:53:00,4.4e-05,,,,M6.2,0.000062857,,,,,19.0,48.0,IGR List,,,IGR List
1993-09-25 18:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1994-09-16 04:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1994-10-25 15:53:00,4.7e-06,,,,C6.7,0.0000067143,,,,,-6.0,11.0,IGR List,,,IGR List
1995-04-22 11:50:00,7.1e-05,1995-04-22 11:37:00,1995-04-22 11:51:00,1995-04-22 11:59:00,X1.0,0.00010157143697142601,0.06453514099121094,22.0,14.0,199504221137.0,0.0,90.0,IGR List,,8.0,IGR List
1996-11-30 06:00:00,,,,,,,,,,,,,IGR List,,,IGR List
1997-04-07 13:58:00,7e-06,1997-04-07 13:46:00,1997-04-07 14:07:00,1997-04-07 14:19:00,C9.0,9.014285751618445e-06,0.009981523267924786,33.0,21.0,199704071346.0,-28.0,-19.0,IGR List,878.0,8.0,IGR List
1997-05-12 04:54:00,1e-06,,,,C1.4,0.0000014286,,,,,21.0,7.0,IGR List,464.0,,IGR List
1997-11-13 21:20:00,,,,,,,,,,,,110.0,IGR List,546.0,,IGR List
1997-11-14 13:00:00,,,,,,,,,,,,120.0,IGR List,702.0,,IGR List
1998-05-27 13:38:00,8e-06,1998-05-27 13:09:00,1998-05-27 13:35:00,,M0.9,9.971428880817257e-06,,,26.0,199805271309.0,18.0,58.0,IGR List,878.0,8.0,IGR List
1998-06-04 02:04:00,,,,,,,,,,,,120.0,IGR List,1802.0,,IGR List
1998-06-16 18:19:00,1e-05,1998-06-16 17:58:00,1998-06-16 18:40:00,1998-06-16 19:28:00,M1.4,1.4185713553160895e-05,0.04906448721885681,90.0,42.0,199806161758.0,,115.0,IGR List,1484.0,8.0,IGR List
1998-08-19 22:07:00,0.0004,,,,X5.7,0.00057143,,,,,32.0,-75.0,IGR List,,,IGR List
1998-09-06 06:24:00,1e-06,,,,C1.4,0.0000014286,,,,,,118.0,IGR List,,,IGR List
1998-09-09 05:00:00,3e-05,,,,M4.2,0.000042857,,,,,,75.0,IGR List,,,IGR List
1998-10-18 21:12:00,,,,,,,,,,,,130.0,IGR List,,,IGR List
1998-11-22 06:38:00,0.0003,,,,X4.2,0.00042857,,,,,-27.0,82.0,IGR List,,,IGR List
1998-11-24 02:17:00,0.0001,1998-11-24 02:03:00,1998-11-24 02:20:00,1998-11-24 02:37:00,X1.5,0.00015428572078235447,0.1741739958524704,34.0,17.0,199811240203.0,,108.0,IGR List,1798.0,8.0,IGR List
1999-05-09 18:17:00,8e-05,1999-05-09 17:48:00,1999-05-09 18:07:00,1999-05-09 18:15:00,X1.0,0.00010985715198330581,0.0914502888917923,27.0,19.0,199905091748.0,,95.0,IGR List,615.0,8.0,IGR List
1999-05-27 10:50:00,,,,,,,,,,,,120.0,IGR List,1691.0,,IGR List
1999-06-11 00:39:00,,,,,,,,,,,,120.0,IGR List,719.0,,IGR List
1999-11-17 09:59:00,7e-05,1999-11-17 09:47:00,1999-11-17 09:57:00,1999-11-17 10:02:00,X1.0,0.0001064285752363503,0.0523054301738739,15.0,10.0,199911170947.0,17.0,-21.0,IGR List,,8.0,IGR List
2000-01-09 10:00:00,,,,,,,,,,,,120.0,IGR List,,,IGR List
2000-01-18 17:19:00,4e-05,2000-01-18 17:02:00,2000-01-18 17:26:00,2000-01-18 17:44:00,M5.6,5.6428569223498926e-05,0.08314885944128036,42.0,24.0,200001181702.0,-19.0,-11.0,IGR List,739.0,8.0,IGR List
2000-02-12 04:03:00,1e-05,,,,M1.4,0.000014286,,,,,24.0,25.0,IGR List,1107.0,,IGR List
2000-02-17 20:25:00,1e-05,,,,M1.4,0.000014286,,,,,-29.0,-7.0,IGR List,728.0,,IGR List
2000-03-02 08:25:00,0.0001,2000-03-02 08:17:00,2000-03-02 08:28:00,2000-03-02 08:31:00,X1.6,0.00016285714809782803,0.05511145666241646,14.0,11.0,200003020817.0,-14.0,52.0,IGR List,776.0,8.0,IGR List
2000-03-03 02:15:00,4e-05,2000-03-03 02:03:00,2000-03-03 02:14:00,2000-03-03 02:22:00,M5.5,5.52857163711451e-05,0.03055800125002861,19.0,11.0,200003030203.0,-15.0,60.0,IGR List,841.0,8.0,IGR List
2000-03-22 18:46:00,0.0001,2000-03-22 18:41:00,2000-03-22 18:48:00,2000-03-22 18:54:00,X1.5,0.00015571428230032325,0.10442571341991425,13.0,7.0,200003221841.0,14.0,57.0,IGR List,478.0,8.0,IGR List
2000-04-23 13:20:00,,,,,,,,,,,,110.0,IGR List,1187.0,,IGR List
2000-04-27 16:00:00,,,,,,,,,,,,95.0,IGR List,1110.0,,IGR List
2000-05-15 15:56:00,8e-06,2000-05-15 15:44:00,2000-05-15 16:00:00,2000-05-15 16:20:00,M1.1,1.1214285223104525e-05,0.020039143040776253,36.0,16.0,200005151544.0,-20.0,69.0,IGR List,1212.0,8.0,IGR List
2000-06-17 02:38:00,4e-05,2000-06-17 02:17:00,2000-06-17 02:37:00,2000-06-17 02:45:00,M5.0,5.085714292363264e-05,0.03847457095980644,28.0,20.0,200006170217.0,26.0,72.0,IGR List,927.0,8.0,IGR List
2000-06-18 02:00:00,0.0001,2000-06-18 01:50:00,2000-06-18 01:59:00,2000-06-18 02:03:00,X1.4,0.00014428571739699692,0.051327429711818695,13.0,9.0,200006180150.0,23.0,85.0,IGR List,629.0,8.0,IGR List
2000-06-23 14:23:00,3e-05,2000-06-23 14:15:00,2000-06-23 14:31:00,2000-06-23 14:46:00,M4.3,4.357142825028859e-05,0.047478001564741135,31.0,16.0,200006231415.0,23.0,72.0,IGR List,847.0,8.0,IGR List
2000-06-25 07:00:00,2e-05,2000-06-25 07:13:00,2000-06-25 07:51:00,2000-06-25 08:21:00,M2.8,2.8285714506637305e-05,0.06327128410339355,68.0,38.0,200006250713.0,16.0,55.0,IGR List,1617.0,8.0,IGR List
2000-07-10 21:21:00,6e-05,,,,M8.5,0.000085714,,,,,18.0,-49.0,IGR List,1352.0,,IGR List
2000-08-12 10:00:00,1e-05,2000-08-12 09:41:00,2000-08-12 09:56:00,2000-08-12 10:09:00,M1.6,1.671428617555648e-05,0.01735234260559082,28.0,15.0,200008120941.0,-17.0,50.0,IGR List,662.0,8.0,IGR List
2000-09-04 06:00:00,1e-06,,,,C1.4,0.0000014286,,,,,12.0,37.0,IGR List,849.0,,IGR List
2000-09-07 20:46:00,7e-06,2000-09-07 20:28:00,2000-09-07 20:55:00,2000-09-07 21:12:00,M1.0,1.0300000212737359e-05,0.01905342936515808,44.0,27.0,200009072028.0,6.0,47.0,IGR List,422.0,8.0,IGR List
2000-09-09 08:34:00,2e-05,,,,M2.8,0.000028571,,,,,7.0,67.0,IGR List,554.0,,IGR List
2000-09-19 08:13:00,5e-05,2000-09-19 08:02:00,2000-09-19 08:26:00,2000-09-19 08:42:00,M7.3,7.328571518883109e-05,0.1039842888712883,40.0,24.0,200009190802.0,14.0,46.0,IGR List,766.0,8.0,IGR List
2000-10-29 01:49:00,4e-05,2000-10-29 01:40:00,2000-10-29 01:56:00,2000-10-29 02:08:00,M6.4,6.414285599021241e-05,0.07459714263677597,28.0,16.0,200010290140.0,-25.0,-35.0,IGR List,,8.0,IGR List
2000-11-24 05:02:00,0.0002,2000-11-24 04:55:00,2000-11-24 05:02:00,2000-11-24 05:08:00,X2.8,0.00028714287327602506,0.12529714405536652,13.0,7.0,200011240455.0,22.0,3.0,IGR List,1289.0,8.0,IGR List
2000-12-28 12:05:00,,,,,,,,,,,,135.0,IGR List,,,IGR List
2001-01-05 16:30:00,2e-06,2001-01-05 15:41:00,2001-01-05 15:53:00,2001-01-05 16:20:00,C2.9,2.9142859148123534e-06,0.005386114586144686,39.0,12.0,200101051541.0,,120.0,IGR List,828.0,8.0,IGR List
2001-01-20 21:12:00,1e-05,,,,M1.4,0.000014286,,,,,-7.0,-46.0,IGR List,1507.0,,IGR List
2001-02-11 01:05:00,7e-06,2001-02-11 00:51:00,2001-02-11 01:22:00,2001-02-11 01:47:00,C9.3,9.371428859594744e-06,0.019463401287794113,56.0,31.0,200102110051.0,24.0,57.0,IGR List,1183.0,8.0,IGR List
2001-02-26 05:05:00,,,,,,,,,,,,120.0,IGR List,,,IGR List
2001-03-25 16:30:00,9e-06,,,,M1.2,0.000012857,,,,,16.0,-25.0,IGR List,906.0,,IGR List
2001-04-09 15:30:00,8e-05,2001-04-09 15:19:00,2001-04-09 15:34:00,2001-04-09 16:00:00,X1.1,0.00011419441580073908,0.18487145006656647,41.0,15.0,200104091519.0,-21.0,4.0,IGR List,1192.0,8.0,IGR List
2001-05-20 06:00:00,6e-05,2001-05-20 06:02:00,2001-05-20 06:03:00,2001-05-20 06:06:00,M9.2,9.223636880051345e-05,0.01758217252790928,4.0,1.0,200105200602.0,-17.0,91.0,IGR List,546.0,8.0,IGR List
2001-06-04 16:25:00,3e-06,2001-06-04 16:10:00,2001-06-04 16:33:00,2001-06-04 16:44:00,C4.6,4.631313004210824e-06,0.005714684724807739,34.0,23.0,200106041610.0,22.0,60.0,IGR List,464.0,8.0,IGR List
2001-06-11 06:00:00,7e-06,2001-06-11 05:32:00,2001-06-11 05:52:00,2001-06-11 06:02:00,M1.0,1.0182672667724546e-05,0.01431229431182146,30.0,20.0,200106110532.0,-16.0,34.0,IGR List,326.0,8.0,IGR List
2001-10-19 01:00:00,0.0002,,,,X2.8,0.00028571,,,,,16.0,18.0,IGR List,558.0,,IGR List
2001-12-11 09:30:00,,,,,,,,,,,,140.0,IGR List,891.0,,IGR List
2001-12-28 20:00:00,0.0003,2001-12-28 19:34:00,2001-12-28 20:45:00,2001-12-28 21:37:00,X4.9,0.0004985817358829081,2.060683012008667,123.0,71.0,200112281934.0,,-100.0,IGR List,2216.0,8.0,IGR List
2002-01-27 12:00:00,,,,,,,,,,,,120.0,IGR List,1136.0,,IGR List
2002-04-11 16:15:00,9e-06,2002-04-11 16:16:00,2002-04-11 16:26:00,2002-04-11 16:33:00,M1.3,1.3268321708892472e-05,0.00914502702653408,17.0,10.0,200204111616.0,-15.0,33.0,IGR List,540.0,8.0,IGR List
2002-04-30 22:20:00,,,,,,,,,,,,120.0,IGR List,1103.0,,IGR List
2002-07-04 19:50:00,,,,,,,,,,,,130.0,IGR List,957.0,,IGR List
2002-08-16 06:00:00,3e-05,,,,M4.2,0.000042857,,,,,6.0,83.0,IGR List,1378.0,,IGR List
2002-08-16 12:15:00,5e-05,2002-08-16 11:54:00,2002-08-16 12:32:00,2002-08-16 13:04:00,M7.4,7.485714013455436e-05,0.20779114961624146,70.0,38.0,200208161154.0,-14.0,-20.0,IGR List,1585.0,8.0,IGR List
2002-08-18 21:15:00,2e-05,,,,M2.8,0.000028571,,,,,-12.0,19.0,IGR List,682.0,,IGR List
2002-08-20 08:25:00,3e-05,2002-08-20 08:22:00,2002-08-20 08:26:00,2002-08-20 08:30:00,M4.5,4.528571662376635e-05,0.012680571526288986,8.0,4.0,200208200822.0,-10.0,38.0,IGR List,1099.0,8.0,IGR List
2002-11-24 20:10:00,6e-06,2002-11-24 20:08:00,2002-11-24 20:29:00,2002-11-24 20:58:00,C9.1,9.18571458896622e-06,0.018937543034553528,50.0,21.0,200211242008.0,-17.0,37.0,IGR List,1077.0,8.0,IGR List
2002-12-19 21:40:00,3e-05,2002-12-19 21:29:00,2002-12-19 21:53:00,2002-12-19 22:17:00,M3.8,3.8714286347385496e-05,0.07043331861495972,48.0,24.0,200212192129.0,15.0,9.0,IGR List,1092.0,8.0,IGR List
2003-03-17 19:00:00,0.0002,,,,X2.8,0.00028571,,,,,-14.0,39.0,IGR List,1020.0,,IGR List
2003-03-18 12:00:00,0.0002,,,,X2.8,0.00028571,,,,,-9.0,46.0,IGR List,1601.0,,IGR List
2003-04-07 03:00:00,7e-07,,,,C1.0,0.0000010000,,,,,-10.0,88.0,IGR List,217.0,,IGR List
2004-07-13 00:30:00,7e-05,2004-07-13 00:05:00,2004-07-13 00:17:00,2004-07-13 00:23:00,M9.7,9.710181620903313e-05,0.044109590351581573,18.0,12.0,200407130005.0,14.0,59.0,IGR List,409.0,12.0,IGR List
2004-10-30 06:20:00,4e-05,2004-10-30 06:06:00,2004-10-30 06:18:00,2004-10-30 06:22:00,M6.0,6.0485530411824584e-05,0.02411172166466713,16.0,12.0,200410300606.0,16.0,22.0,IGR List,422.0,12.0,IGR List
2004-10-30 11:40:00,0.0001,,,,X1.4,0.00014286,,,,,12.0,26.0,IGR List,427.0,,IGR List
2004-10-30 16:25:00,6e-05,2004-10-30 16:13:00,2004-10-30 16:33:00,2004-10-30 16:37:00,M8.4,8.438290387857705e-05,0.042293284088373184,24.0,20.0,200410301613.0,13.0,28.0,IGR List,690.0,12.0,IGR List
2004-12-02 23:50:00,2e-05,,,,M2.8,0.000028571,,,,,9.0,-3.0,IGR List,1216.0,,IGR List
2005-05-06 03:10:00,9e-06,2005-05-06 03:05:00,2005-05-06 03:14:00,2005-05-06 03:21:00,M1.3,1.3413968190434389e-05,0.008831853978335857,16.0,9.0,200505060305.0,-4.0,71.0,IGR List,1120.0,12.0,IGR List
2005-05-06 11:20:00,1e-05,,,,M1.4,0.000014286,,,,,-4.0,76.0,IGR List,1144.0,,IGR List
2005-05-11 19:30:00,1e-05,2005-05-11 19:14:00,2005-05-11 19:38:00,2005-05-11 19:55:00,M1.6,1.635096487007104e-05,0.02399681694805622,41.0,24.0,200505111914.0,-10.0,55.0,IGR List,550.0,12.0,IGR List
2005-07-09 22:00:00,3e-05,2005-07-09 21:41:00,2005-07-09 22:06:00,2005-07-09 22:19:00,M4.1,4.1042487282538787e-05,0.04354279115796089,38.0,25.0,200507092141.0,11.0,27.0,IGR List,1540.0,12.0,IGR List
2005-07-12 16:25:00,2e-05,,,,M2.8,0.000028571,,,,,11.0,67.0,IGR List,523.0,,IGR List
2005-07-24 13:50:00,,,,,,,,,,,,-120.0,IGR List,2528.0,,IGR List
2005-08-29 10:30:00,,,,,,,,,,,,121.0,IGR List,1600.0,,IGR List
2005-08-31 22:05:00,,,,,,,,,,,,140.0,IGR List,1808.0,,IGR List
2010-06-12 01:05:00,2e-05,2010-06-12 00:45:00,2010-06-12 00:57:00,2010-06-12 01:02:00,M2.8,2.8790282158297487e-05,0.009904533624649048,17.0,12.0,201006120045.0,23.0,43.0,IGR List,486.0,14.0,IGR List
2010-08-07 18:50:00,1e-05,2010-08-07 17:47:00,2010-08-07 18:24:00,2010-08-07 18:47:00,M1.4,1.468160371587146e-05,0.02545294165611267,60.0,37.0,201008071747.0,11.0,-34.0,IGR List,871.0,14.0,IGR List
2012-01-02 16:00:00,2.4e-06,2012-01-02 14:42:00,2012-01-02 15:23:00,2012-01-02 15:59:00,C3.4,3.4378811051283265e-06,0.011458606459200382,77.0,41.0,201201021442.0,,97.0,IGR List,1140.0,15.0,IGR List
2012-09-08 11:00:00,,,,,,,,,,,,145.0,IGR List,734.0,,IGR List
2013-02-06 03:00:00,8.7e-06,,,,M1.2,0.000012429,,,,,,-19.0,IGR List,1870.0,,IGR List
2013-02-26 13:00:00,,,,,,,,,,,,131.0,IGR List,987.0,,IGR List
2013-04-24 22:00:00,,,,,,,,,,,,175.0,IGR List,594.0,,IGR List
2013-08-17 19:00:00,3.3e-05,,,,M4.7,0.000047143,,,,,-7.0,30.0,IGR List,1200.0,,IGR List
2013-08-20 00:00:00,,,,,,,,,,,,174.0,IGR List,877.0,,IGR List
2013-10-22 22:00:00,4.2e-05,,,,M6.0,0.000060000,,,,,4.0,0.0,IGR List,459.0,,IGR List
2013-12-12 04:00:00,4.6e-06,2013-12-12 03:03:00,2013-12-12 03:36:00,2013-12-12 04:00:00,C6.6,6.635643330810126e-06,0.01594610884785652,57.0,33.0,201312120303.0,-23.0,46.0,IGR List,1000.0,15.0,IGR List
2013-12-14 06:00:00,,,,,,,,,,,,-144.0,IGR List,611.0,,IGR List
2014-01-04 21:00:00,4e-05,,,,M5.7,0.000057143,,,,,,-40.0,IGR List,997.0,,IGR List
2014-02-18 03:00:00,,,,,,,,,,,,-45.0,IGR List,779.0,,IGR List
2014-03-25 05:00:00,1.4e-06,,,,C2.0,0.0000020000,,,,,,70.0,IGR List,651.0,,IGR List
2014-04-02 14:00:00,6.5e-05,2014-04-02 13:12:00,2014-04-02 14:05:00,2014-04-02 14:28:00,M9.3,9.351100743515417e-05,0.20252260565757751,76.0,53.0,201404021312.0,,-53.0,IGR List,1470.0,15.0,IGR List
2014-05-07 18:00:00,1.2e-05,,,,M1.7,0.000017143,,,,,,91.0,IGR List,923.0,,IGR List
2014-06-12 23:00:00,3.1e-05,2014-06-12 21:36:00,2014-06-12 22:16:00,2014-06-12 22:52:00,M4.5,4.5197270083008334e-05,0.13660764694213867,76.0,40.0,201406122136.0,-20.0,55.0,IGR List,970.0,15.0,IGR List
2014-08-25 17:00:00,2e-05,,,,M2.8,0.000028571,,,,,5.0,39.0,IGR List,555.0,,IGR List
2014-09-01 11:00:00,,,,,,,,,,,,-108.0,IGR List,1900.0,,IGR List
2015-02-21 11:00:00,,,,,,,,,,,,135.0,IGR List,1120.0,,IGR List
2015-03-24 10:00:00,,,,,,,,,,,,100.0,IGR List,1790.0,,IGR List
2015-04-21 19:00:00,2.2e-05,,,,M3.1,0.000031429,,,,,,-80.0,IGR List,2040.0,,IGR List
2015-04-23 12:00:00,1.1e-05,,,,M1.5,0.000015714,,,,,,80.0,IGR List,857.0,,IGR List
2015-09-30 17:00:00,1.3e-05,,,,M1.8,0.000018571,,,,,,59.0,IGR List,602.0,,IGR List
2015-10-22 05:00:00,4.4e-06,,,,C6.2,0.0000062857,,,,,,34.0,IGR List,817.0,,IGR List
2016-03-16 07:00:00,2.2e-06,2016-03-16 06:31:00,2016-03-16 06:46:00,2016-03-16 06:57:00,C3.1,3.169202727804077e-06,0.003232700750231743,26.0,15.0,201603160631.0,12.0,88.0,IGR List,592.0,15.0,IGR List
2016-04-18 01:00:00,6.7e-05,,,,M9.5,0.000095714,,,,,12.0,62.0,IGR List,1080.0,,IGR List
2016-07-23 05:00:00,7.6e-05,2016-07-23 04:58:00,2016-07-23 05:16:00,2016-07-23 05:24:00,X1.0,0.00010947812552331015,0.06930447369813919,26.0,18.0,201607230458.0,5.0,73.0,IGR List,835.0,15.0,IGR List
